GEOID,geometry
470650104312,POINT (-85.22243 35.154532)
470650104321,POINT (-85.234649 35.133104)
470650104321,POINT (-85.237953 35.124704)
470650114462,POINT (-85.160571 35.022523)
470650012003,POINT (-85.259361 35.042394)
470650004001,POINT (-85.290914 35.050563)
470650104312,POINT (-85.226586 35.152455)
470650104332,POINT (-85.249499 35.138177)
470650104332,POINT (-85.248288 35.126122)
470650104321,POINT (-85.239222 35.13525)
470650104314,POINT (-85.24805 35.155035)
470650113214,POINT (-85.153932 35.031636)
470650123001,POINT (-85.263473 35.081558)
470650123001,POINT (-85.26471 35.07536)
470650104321,POINT (-85.224265 35.14452)
470650104321,POINT (-85.236129 35.131309)
470650104324,POINT (-85.216746 35.108927)
470650114462,POINT (-85.156136 35.039774)
470650104314,POINT (-85.245544 35.153133)
470650104353,POINT (-85.252175 35.1464)
470650114453,POINT (-85.159949 35.040707)
470650031001,POINT (-85.308678 35.043011)
470650034002,POINT (-85.207898 35.015879)
470650114441,POINT (-85.199008 35.07308)
470650114451,POINT (-85.191232 35.02734)
470650020001,POINT (-85.304901 35.03404)
470650104334,POINT (-85.239622 35.122006)
470650104321,POINT (-85.238706 35.125568)
470650114452,POINT (-85.167067 35.043381)
470650104314,POINT (-85.245506 35.137707)
470650104321,POINT (-85.238839 35.135431)
470650104312,POINT (-85.222278 35.14631)
470650104324,POINT (-85.218621 35.109404)
470650105015,POINT (-85.279133 35.117367)
470650012002,POINT (-85.270102 35.037392)
470650113214,POINT (-85.151658 35.030928)
470650104334,POINT (-85.251664 35.11442)
470650104314,POINT (-85.246433 35.140518)
470650023001,POINT (-85.291394 34.995475)
470650124001,POINT (-85.302122 35.048949)
470650104333,POINT (-85.254478 35.115252)
470650104312,POINT (-85.223414 35.145834)
470650104314,POINT (-85.248152 35.154476)
470650033001,POINT (-85.21975 35.018081)
470650124001,POINT (-85.303303 35.048897)
470650012002,POINT (-85.267573 35.033407)
470650004001,POINT (-85.28993 35.048659)
470650114451,POINT (-85.189907 35.030275)
470650113231,POINT (-85.150812 35.040938)
470650104321,POINT (-85.199822 35.152996)
470650104333,POINT (-85.251069 35.116899)
470650006003,POINT (-85.306574 35.061275)
470650104333,POINT (-85.260582 35.114839)
470650114022,POINT (-85.188185 35.087772)
470650104314,POINT (-85.246022 35.135273)
470650007001,POINT (-85.288338 35.069141)
470650104321,POINT (-85.220539 35.145041)
470650104321,POINT (-85.207417 35.147358)
470650104321,POINT (-85.207417 35.148644)
470650104311,POINT (-85.197844 35.156559)
470650008001,POINT (-85.314216 35.063368)
470650104312,POINT (-85.222953 35.146086)
470650104321,POINT (-85.22477 35.144571)
470650104321,POINT (-85.207223 35.147432)
470650104321,POINT (-85.199174 35.153598)
470650104324,POINT (-85.218802 35.109545)
470650104333,POINT (-85.251296 35.116729)
470650104321,POINT (-85.207311 35.148916)
470650104353,POINT (-85.250276 35.164737)
470650104334,POINT (-85.242521 35.120577)
470650026002,POINT (-85.282269 35.019331)
470650104314,POINT (-85.247964 35.142454)
470650104321,POINT (-85.240807 35.133968)
470650030002,POINT (-85.204294 35.010157)
470650104353,POINT (-85.2517 35.146647)
470650105015,POINT (-85.263324 35.114517)
470650104321,POINT (-85.207236 35.147881)
470650104314,POINT (-85.246232 35.154256)
470650104353,POINT (-85.25139 35.147443)
470650104353,POINT (-85.249858 35.164861)
470650114111,POINT (-85.234665 35.100478)
470650013002,POINT (-85.262519 35.02784)
470650104324,POINT (-85.215327 35.126023)
470650104324,POINT (-85.216458 35.108683)
470650026003,POINT (-85.289224 35.026374)
470650123001,POINT (-85.26471 35.07536)
470650114453,POINT (-85.159949 35.040707)
470650034001,POINT (-85.204411 35.017615)
470650123001,POINT (-85.265952 35.068667)
470650113214,POINT (-85.148623 35.039192)
470650020001,POINT (-85.306735 35.032511)
470650123002,POINT (-85.25367 35.064438)
470650123001,POINT (-85.264821 35.081064)
470650011001,POINT (-85.282307 35.039162)
470650114451,POINT (-85.189907 35.030275)
470650123003,POINT (-85.240432 35.074505)
470650123002,POINT (-85.249482 35.065518)
470650114451,POINT (-85.196039 35.054267)
470650104314,POINT (-85.246022 35.135273)
470650114453,POINT (-85.159325 35.042267)
470650114111,POINT (-85.216699 35.087555)
470650123001,POINT (-85.264555 35.081658)
470650114112,POINT (-85.203172 35.084614)
470650031001,POINT (-85.312203 35.054394)
470650114451,POINT (-85.192494 35.046211)
470650105015,POINT (-85.263324 35.114517)
470650104321,POINT (-85.207236 35.147881)
470650104314,POINT (-85.246232 35.154256)
470650104321,POINT (-85.240555 35.129062)
470650004001,POINT (-85.271541 35.04404)
